Question,Start,End,Pollster,Population,Support,rep,dem
arm-teachers,2/23/18,2/25/18,YouGov/Huffpost,Registered Voters,41,69,20
arm-teachers,2/20/18,2/23/18,CBS News,Adults,,68,20
arm-teachers,2/27/18,2/28/18,Rasmussen,Adults,43,71d,24
arm-teachers,2/27/18,2/28/18,NPR/Ipsos,Adults,41,68,18
arm-teachers,3/3/18,3/5/18,Quinnipiac,Registered Voters,40,77,10
arm-teachers,2/26/18,2/28/18,SurveyMonkey,Registered Voters,43,80,11
